Jurisdiction,Prob,Topic,Accuracy
         Alabama  ,0.885567177838958, 2 , 0.669144
          Alaska  ,0.9499194822608029, 2 , 0.890000
         Arizona  ,0.8810103308685469, 2 , 0.628236
        Arkansas  ,0.8714638081937182, 2 , 0.725242
      California  ,0.9021278199037348, 2 , 0.761611
        Colorado  ,0.8342276754236831, 2 , 0.456831
     Connecticut  ,0.9928884554950078, 2 , 0.932122
        Delaware  ,0.7751302786101697, 2 , 0.644144
         Florida  ,0.984666703056341, 2 , 0.894792
         Georgia  ,0.812523352128419, 2 , 0.711337
          Hawaii  ,0.9510968277988053, 2 , 0.818336
           Idaho  ,0.9448677088144274, 2 , 0.831880
        Illinois  ,0.965381096552228, 2 , 0.841528
         Indiana  ,0.9674924297786686, 2 , 0.915650
            Iowa  ,0.944643308070858, 2 , 0.832509
          Kansas  ,0.9550827615810774, 2 , 0.088889
        Kentucky  ,0.8249022750625667, 2 , 0.540249
       Louisiana  ,0.8646925388335582, 2 , 0.726680
           Maine  ,0.9145522634964984, 2 , 0.429408
        Maryland  ,0.8961866637153469, 2 , 0.718542
   Massachusetts  ,0.9932396901164082, 2 , 0.804525
        Michigan  ,0.9201818774861878, 2 , 0.736272
       Minnesota  ,0.9946216810223825, 2 , 0.891921
     Mississippi  ,0.9673172755551103, 2 , 0.815474
        Missouri  ,0.9853218043452867, 2 , 0.591787
         Montana  ,0.7895486190701999, 2 , 0.766465
        Nebraska  ,0.9999934692881131, 2 , 0.843537
          Nevada  ,0.8458383213804419, 2 , 0.608051
   New Hampshire  ,0.7720702220471292, 2 , 0.525253
      New Jersey  ,0.9750565784480485, 2 , 0.891674
      New Mexico  ,0.9862526628107037, 2 , 0.771132
        New York  ,0.9348067481351068, 2 , 0.825108
  North Carolina  ,0.9467522988600249, 2 , 0.792486
    North Dakota  ,0.8265060092506642, 2 , 0.650301
            Ohio  ,0.963632222516362, 2 , 0.798030
        Oklahoma  ,0.8943235178707414, 2 , 0.805120
          Oregon  ,0.956901160607916, 2 , 0.882885
    Pennsylvania  ,0.9140856457582451, 2 , 0.591499
    Rhode Island  ,0.9103177730936599, 2 , 0.545064
  South Carolina  ,0.962493554127851, 2 , 0.761163
    South Dakota  ,0.8841437656580176, 2 , 0.681159
       Tennessee  ,0.8884277629142059, 2 , 0.780861
           Texas  ,0.9260845264262058, 2 , 0.782780
